task_id,task_name,estimated_duration_minutes,deadline,priority_level,cognitive_load,prerequisites
IM1013_200,Economics (S200),53,2026-04-28 05:00,Low,5,[]
IM1031_201,Entrepreneurship and Innovation (S201),104,2026-04-30 08:00,Medium,4,[]
IM1031_202,Entrepreneurship and Innovation (S202),133,2026-04-29 12:00,Low,8,[]
CO3127_203,Programming Intergration Project - Data Engineering (S203),141,2026-04-17 18:00,Low,5,[]
CO3137_204,Big Data (S204),65,2026-05-01 10:00,Low,4,[]
IM1013_205,Economics (S205),147,2026-04-24 01:00,Medium,6,[]
CO3061_206,Introduction to Artificial Intelligence (S206),53,2026-04-26 12:00,Low,5,[]
CO4029_207,Specialized Project (S207),199,2026-04-17 19:00,High,1,[]
CO3131_208,Next-gen Software Engineering (S208),64,2026-04-19 19:00,High,1,[]
MT1003_209,Calculus 1 (S209),73,2026-04-17 13:00,Low,4,[]
CO3037_210,Internet of Things Application Development (S210),78,2026-04-04 10:00,High,3,[]
CO3033_211,Information System Security (S211),77,2026-04-30 17:00,Low,2,[]
CO3021_212,Database Management Systems (S212),120,2026-04-06 02:00,High,4,[]
ME1019_213,Productivity and Quality (S213),224,2026-04-25 07:00,High,7,[]
IM1031_214,Entrepreneurship and Innovation (S214),174,2026-04-11 05:00,Medium,3,[]
CO3045_215,Game Programming (S215),155,2026-04-12 12:00,Low,3,[]
SP1035_216,Scientific Socialism (S216),234,2026-04-05 11:00,High,5,[]
IM1031_217,Entrepreneurship and Innovation (S217),154,2026-04-18 11:00,Medium,3,[]
SP1035_218,Scientific Socialism (S218),55,2026-04-19 14:00,Medium,10,[]
CO3153_219,Computer Network Security Assessment (S219),190,2026-04-19 17:00,Low,8,[]
MT1003_220,Calculus 1 (S220),88,2026-05-01 08:00,High,9,[]
CO3151_221,Network management (S221),137,2026-05-01 16:00,Low,2,[]
CO3133_222,Deep Learning and Its Applications (S222),214,2026-04-18 19:00,Low,9,[]
IM3001_223,Business Administration for Engineers (S223),172,2026-04-25 14:00,Medium,1,[]
CO3115_224,Systems Analysis and Design (S224),151,2026-04-26 03:00,Low,7,[]
IM1023_225,Production and Operations Management for Engineers (S225),134,2026-04-12 19:00,Medium,9,[]
CO3135_226,Programming for Artificial Intelligence and Data Science (P4AI-DS) (S226),227,2026-04-09 15:00,Medium,5,[]
LA1003_227,English 1 (S227),214,2026-04-18 07:00,Medium,1,[]
PE1019_228,Swimming (S228),234,2026-04-13 00:00,Low,10,[]
SP1031_229,Marxist - Leninist Philosophy (S229),171,2026-04-04 01:00,High,8,[]
PE1009_230,Football (S230),69,2026-04-06 12:00,Low,6,[]
SP1039_231,History of Vietnamese Communist Party (S231),98,2026-04-02 02:00,High,9,[]
CO3037_232,Internet of Things Application Development (S232),127,2026-04-05 23:00,Low,7,[]
CO3001_233,Software Engineering (S233),210,2026-04-01 01:00,High,4,[]
CO3153_234,Computer Network Security Assessment (S234),40,2026-04-23 03:00,Medium,6,[]
LA1007_235,English 3 (S235),60,2026-04-19 18:00,High,6,['English 2']
CO3151_236,Network management (S236),121,2026-04-26 08:00,High,5,[]
CO3029_237,Data Mining (S237),104,2026-04-22 13:00,High,2,[]
CO1027_238,Fundamental Programming (S238),230,2026-05-01 20:00,High,9,[]
CO3011_239,Software Project Management (S239),229,2026-04-05 00:00,Medium,9,[]
PE1019_240,Swimming (S240),229,2026-04-21 07:00,Low,4,[]
CO3043_241,Mobile Application Development (S241),77,2026-04-12 01:00,Medium,6,[]
PE1015_242,Basketball (S242),107,2026-04-11 11:00,High,2,[]
PE1019_243,Swimming (S243),113,2026-04-27 11:00,Medium,8,[]
IM1031_244,Entrepreneurship and Innovation (S244),43,2026-04-29 17:00,High,9,[]
IM1013_245,Economics (S245),155,2026-04-26 09:00,Low,6,[]
CO1023_246,Digital Systems (S246),174,2026-04-17 09:00,High,3,[]
CO3065_247,Advanced Software Engineering (S247),129,2026-04-04 22:00,High,6,[]
CO3037_248,Internet of Things Application Development (S248),157,2026-04-21 17:00,Medium,1,[]
CO3037_249,Internet of Things Application Development (S249),168,2026-04-17 20:00,High,3,[]
SP1039_250,History of Vietnamese Communist Party (S250),105,2026-04-06 00:00,Medium,3,[]
PE1017_251,Badminton (S251),84,2026-04-14 05:00,Medium,3,[]
LA1009_252,English 4 (S252),112,2026-04-25 17:00,Low,4,['English 3']
CO3059_253,Computer Graphics (S253),141,2026-04-13 22:00,High,9,[]
CO3129_254,Software Security (S254),55,2026-04-21 02:00,Low,4,[]
CO3065_255,Advanced Software Engineering (S255),57,2026-04-27 21:00,Medium,3,[]
MT2013_256,Probability and Statistics (S256),42,2026-04-11 06:00,High,6,[]
IM1023_257,Production and Operations Management for Engineers (S257),231,2026-04-22 15:00,High,8,[]
CO3117_258,Machine Learning (S258),221,2026-04-26 04:00,Medium,10,[]
CO3059_259,Computer Graphics (S259),56,2026-04-22 23:00,Low,4,[]
SP1031_260,Marxist - Leninist Philosophy (S260),136,2026-04-06 06:00,Medium,9,[]
SP1039_261,History of Vietnamese Communist Party (S261),166,2026-04-22 00:00,Medium,4,[]
CO3093_262,Computer Networks (S262),96,2026-04-12 23:00,High,7,[]
PE1011_263,Volleyball (S263),82,2026-04-27 05:00,Low,1,[]
CO2039_264,Advanced Programming (S264),192,2026-04-08 03:00,Medium,1,[]
CO3017_265,Software Architecture (S265),124,2026-04-21 16:00,Low,10,[]
SP1033_266,Marxist - Leninist Political Economy (S266),169,2026-04-19 08:00,High,4,[]
CO3117_267,Machine Learning (S267),172,2026-04-05 11:00,Low,6,[]
CO3045_268,Game Programming (S268),35,2026-04-22 22:00,Medium,6,[]
IM3001_269,Business Administration for Engineers (S269),57,2026-04-23 16:00,Medium,8,[]
CO3059_270,Computer Graphics (S270),40,2026-04-28 02:00,Medium,8,[]
PE1053_271,Chess (study part 1) (S271),47,2026-04-27 02:00,Low,9,[]
CO3101_272,Programming Intergration Project (S272),68,2026-04-01 10:00,Medium,2,[]
CO2017_273,Operating Systems (S273),159,2026-04-01 00:00,High,1,[]
CH1003_274,General Chemistry (S274),185,2026-04-30 18:00,High,2,[]
CO3109_275,Multidisciplinary Project (S275),216,2026-04-26 18:00,Low,9,[]
CO3103_276,Programming Intergration Project (S276),204,2026-04-16 05:00,High,6,[]
CO3015_277,Software Testing (S277),104,2026-04-15 02:00,Medium,4,['Fundamental Programming']
CO3015_278,Software Testing (S278),212,2026-04-21 03:00,High,7,['Fundamental Programming']
IM1027_279,Engineering Economics (S279),159,2026-04-25 08:00,Medium,6,[]
CO4029_280,Specialized Project (S280),220,2026-04-29 11:00,Medium,4,[]
CO3127_281,Programming Intergration Project - Data Engineering (S281),78,2026-04-15 04:00,Low,9,[]
PE1061_282,Pickleball (S282),229,2026-04-26 18:00,Medium,3,[]
PE1053_283,Chess (study part 1) (S283),178,2026-04-11 01:00,High,7,[]
SP1035_284,Scientific Socialism (S284),66,2026-05-01 02:00,Medium,6,[]
CO3041_285,Intelligent Systems (S285),153,2026-04-24 18:00,Medium,10,['Software Engineering']
LA1005_286,English 2 (S286),130,2026-04-08 03:00,Medium,5,['English 1']
CO2003_287,Data Structures and Algorithms (S287),238,2026-04-14 03:00,High,2,[]
LA1003_288,English 1 (S288),108,2026-04-19 23:00,High,3,[]
CO3051_289,Mobile Systems (S289),178,2026-04-11 15:00,Medium,6,[]
CO4037_290,Management Information Systems (S290),204,2026-04-08 00:00,Medium,5,[]
CO3111_291,Multidisciplinary Project (S291),155,2026-04-19 00:00,Medium,5,[]
CO3043_292,Mobile Application Development (S292),118,2026-04-21 06:00,Low,9,[]
CO3139_293,Digital transformation (S293),238,2026-04-24 00:00,High,7,[]
CO3335_294,Internship (S294),172,2026-04-18 04:00,Low,6,[]
PE1015_295,Basketball (S295),112,2026-04-24 12:00,Low,3,[]
CO3151_296,Network management (S296),65,2026-04-19 05:00,Low,6,[]
PH1003_297,General Physics 1 (S297),119,2026-04-03 16:00,Medium,4,[]
IM1031_298,Entrepreneurship and Innovation (S298),100,2026-04-14 20:00,Medium,8,[]
CO3029_299,Data Mining (S299),169,2026-04-08 12:00,Low,5,[]
CO3015_300,Software Testing (S300),177,2026-04-06 21:00,High,1,['Fundamental Programming']
CO3061_301,Introduction to Artificial Intelligence (S301),162,2026-04-11 16:00,Medium,8,[]
CO1027_302,Fundamental Programming (S302),127,2026-04-16 11:00,Low,4,[]
LA1005_303,English 2 (S303),70,2026-04-01 08:00,Medium,2,['English 1']
PE1017_304,Badminton (S304),35,2026-04-24 21:00,Medium,6,[]
CO3049_305,Web Programming (S305),114,2026-04-06 23:00,High,5,[]
CO3117_306,Machine Learning (S306),119,2026-04-05 23:00,Low,3,[]
CO3057_307,Digital Image Processing and Computer Vision (S307),216,2026-04-12 00:00,Medium,6,[]
CO3107_308,Multidisciplinary Project (S308),56,2026-04-13 18:00,Low,7,[]
CO3133_309,Deep Learning and Its Applications (S309),115,2026-04-29 08:00,High,9,[]
CO3093_310,Computer Networks (S310),161,2026-04-08 18:00,Low,5,[]
CO3049_311,Web Programming (S311),75,2026-05-01 11:00,Medium,9,[]
PE1009_312,Football (S312),144,2026-04-23 11:00,Low,6,[]
CO2007_313,Computer Architecture (S313),124,2026-04-10 14:00,High,4,[]
PE1025_314,AThletics (S314),234,2026-04-13 02:00,High,9,[]
CO3105_315,Programming Intergration Project (S315),115,2026-04-08 19:00,High,3,[]
CO3015_316,Software Testing (S316),94,2026-04-17 07:00,Medium,10,['Fundamental Programming']
CO3093_317,Computer Networks (S317),69,2026-04-12 12:00,Low,4,[]
SP1037_318,Ho Chi Minh Ideology (S318),194,2026-04-21 01:00,Medium,1,[]
PE1009_319,Football (S319),152,2026-04-30 07:00,High,2,[]
CO2017_320,Operating Systems (S320),167,2026-04-09 14:00,Medium,6,[]
SP1037_321,Ho Chi Minh Ideology (S321),193,2026-04-25 08:00,High,10,[]
CO1005_322,Introduction to Computing (S322),186,2026-04-08 19:00,Low,1,[]
CH1003_323,General Chemistry (S323),223,2026-04-15 22:00,High,6,[]
PE1013_324,Table tennis (S324),79,2026-04-20 03:00,Medium,10,[]
CO3089_325,Selected Topics in High Performance Computing (S325),134,2026-04-19 02:00,High,4,[]
CO2011_326,Mathematical Modeling (S326),237,2026-04-29 22:00,High,1,[]
CO3335_327,Internship (S327),78,2026-04-19 01:00,Medium,2,[]
CO3049_328,Web Programming (S328),80,2026-04-16 05:00,Medium,9,[]
CO3061_329,Introduction to Artificial Intelligence (S329),46,2026-04-11 10:00,High,8,[]
CO3153_330,Computer Network Security Assessment (S330),182,2026-04-30 22:00,Medium,9,[]
CO3109_331,Multidisciplinary Project (S331),150,2026-04-07 22:00,Low,8,[]
CO2007_332,Computer Architecture (S332),175,2026-04-30 21:00,High,8,[]
CO3069_333,Cryptography and Network Security (S333),51,2026-04-11 05:00,Low,2,[]
CO3043_334,Mobile Application Development (S334),198,2026-04-17 04:00,Medium,10,[]
CO3137_335,Big Data (S335),65,2026-04-23 01:00,High,10,[]
CO3109_336,Multidisciplinary Project (S336),230,2026-04-24 14:00,Medium,9,[]
CO3335_337,Internship (S337),219,2026-04-11 09:00,Low,4,[]
CO1005_338,Introduction to Computing (S338),81,2026-04-20 11:00,Low,10,[]
IM1013_339,Economics (S339),208,2026-04-25 03:00,Medium,10,[]
CO3133_340,Deep Learning and Its Applications (S340),188,2026-04-14 18:00,High,6,[]
SP1031_341,Marxist - Leninist Philosophy (S341),212,2026-04-07 05:00,Low,10,[]
CO2003_342,Data Structures and Algorithms (S342),42,2026-04-22 07:00,Medium,2,[]
LA1007_343,English 3 (S343),226,2026-04-25 19:00,High,8,['English 2']
PE1061_344,Pickleball (S344),72,2026-04-04 02:00,Low,4,[]
